created_at,entry_id,field1,field2
2024-12-25 18:51:43 UTC,86,9,
2024-12-25 18:51:59 UTC,87,9,
2024-12-25 18:52:16 UTC,88,9,
2024-12-25 18:52:32 UTC,89,3,
2024-12-25 18:52:49 UTC,90,9,
2024-12-25 18:53:05 UTC,91,9,
2024-12-25 18:53:22 UTC,92,9,
2024-12-25 18:53:38 UTC,93,9,
2024-12-25 18:53:56 UTC,94,9,
2024-12-25 18:54:12 UTC,95,3,
2024-12-25 18:54:28 UTC,96,9,
2024-12-25 18:54:44 UTC,97,9,
2024-12-25 18:55:01 UTC,98,9,
2024-12-25 18:55:17 UTC,99,9,
2024-12-25 18:55:33 UTC,100,9,
2024-12-25 18:55:50 UTC,101,9,
2024-12-25 18:56:06 UTC,102,9,
2024-12-25 18:56:23 UTC,103,9,
2024-12-25 18:56:39 UTC,104,9,
2024-12-25 18:56:55 UTC,105,9,
2024-12-25 18:57:13 UTC,106,9,
2024-12-25 18:57:29 UTC,107,9,
2024-12-25 18:57:48 UTC,108,9,
2024-12-25 18:58:05 UTC,109,9,
2024-12-25 18:58:22 UTC,110,9,
2024-12-25 18:58:38 UTC,111,9,
2024-12-25 18:58:54 UTC,112,9,
2024-12-25 18:59:11 UTC,113,9,
2024-12-25 18:59:27 UTC,114,9,
2024-12-25 18:59:43 UTC,115,9,
2024-12-25 19:00:00 UTC,116,9,
2024-12-25 19:00:16 UTC,117,9,
2024-12-25 19:00:32 UTC,118,9,
2024-12-25 19:00:48 UTC,119,9,
2024-12-25 19:01:05 UTC,120,9,
2024-12-25 19:01:21 UTC,121,9,
2024-12-25 19:01:38 UTC,122,9,
2024-12-25 19:01:54 UTC,123,3,
2024-12-25 19:02:11 UTC,124,9,
2024-12-25 19:02:27 UTC,125,9,
2024-12-25 19:02:44 UTC,126,9,
2024-12-25 19:07:05 UTC,127,3,
2024-12-25 19:07:21 UTC,128,9,
2024-12-25 19:07:38 UTC,129,9,
2024-12-25 19:07:54 UTC,130,9,
2024-12-25 19:08:13 UTC,131,9,
2024-12-25 19:08:29 UTC,132,9,
2024-12-25 19:08:45 UTC,133,9,
2024-12-28 16:32:30 UTC,134,17,
2024-12-28 16:32:46 UTC,135,122,
2024-12-28 16:33:03 UTC,136,221,
2024-12-28 17:50:33 UTC,137,5.32642,0.53264
2024-12-28 17:50:54 UTC,138,8.32579,0.83258
2024-12-28 17:51:15 UTC,139,8.32579,0.83258
2024-12-28 17:51:36 UTC,140,8.32579,0.83258
2024-12-28 17:51:57 UTC,141,12.94823,1.29482
2024-12-28 17:52:18 UTC,142,20.85021,2.08502
2024-12-28 17:52:40 UTC,143,19.06131,1.90613
2024-12-28 17:53:01 UTC,144,15.05341,1.50534
2024-12-28 17:53:22 UTC,145,11.66190,1.16619
2024-12-28 17:53:43 UTC,146,9.89911,0.98991
2024-12-28 17:54:05 UTC,147,9.89911,0.98991
2024-12-28 17:54:26 UTC,148,9.35420,0.93542
2024-12-28 17:54:48 UTC,149,9.35420,0.93542
2024-12-28 17:55:09 UTC,150,8.82990,0.88299
2024-12-28 17:55:31 UTC,151,8.82990,0.88299
2024-12-28 17:55:52 UTC,152,8.82990,0.88299
2024-12-28 17:56:14 UTC,153,8.82990,0.88299
2024-12-28 17:56:35 UTC,154,8.32579,0.83258
2024-12-28 17:56:58 UTC,155,8.82990,0.88299
2024-12-28 17:57:19 UTC,156,8.32579,0.83258
2024-12-28 17:57:41 UTC,157,7.84142,0.78414
2024-12-28 17:58:03 UTC,158,8.32579,0.83258
2024-12-28 17:58:24 UTC,159,8.82990,0.88299
2024-12-28 17:58:46 UTC,160,8.32579,0.83258
2024-12-28 17:59:09 UTC,161,8.32579,0.83258
2024-12-28 17:59:30 UTC,162,7.84142,0.78414
2024-12-28 17:59:51 UTC,163,8.32579,0.83258
2024-12-28 18:00:21 UTC,164,42,41.05572
2024-12-28 18:00:43 UTC,165,48,46.92082
2024-12-28 18:01:04 UTC,166,48,46.92082
2024-12-28 18:01:26 UTC,167,48,46.92082
2024-12-28 18:01:47 UTC,168,49,47.89834
2024-12-28 18:02:08 UTC,169,48,46.92082
2024-12-28 18:02:30 UTC,170,52,50.83089
2024-12-28 18:02:51 UTC,171,50,48.87585
2024-12-28 18:03:13 UTC,172,52,50.83089
2024-12-28 18:03:35 UTC,173,51,49.85337
2024-12-28 18:03:56 UTC,174,51,49.85337
2024-12-28 18:04:18 UTC,175,50,48.87585
2024-12-28 18:04:39 UTC,176,49,47.89834
2024-12-28 18:05:00 UTC,177,49,47.89834
2024-12-28 18:05:21 UTC,178,49,47.89834
2024-12-28 18:05:42 UTC,179,49,47.89834
2024-12-28 18:06:04 UTC,180,49,47.89834
2024-12-28 18:06:25 UTC,181,49,47.89834
2024-12-28 18:06:47 UTC,182,48,46.92082
2024-12-28 18:07:08 UTC,183,48,46.92082
2024-12-28 18:07:29 UTC,184,48,46.92082
2024-12-28 18:07:51 UTC,185,48,46.92082
